CUSTOMER,Tahun,Bulan OK,NO REK, NO.OK , NAMA BARANG ,  PEMAKAIAN BAHAN BAKU ,  Waste_Total @Kg , Waste %
PT PURA BARUTAMA,2024,3,124.1055.004,OK/TAB/24/II/00126,CETAKAN FOIL PAPER/MIXED COLORS (SAH PRINTED) 60 GSM X 38 MM X 92 MM,11550.39,850.92,7.37%
PT PURA BARUTAMA,2024,4,124.1055.003,OK/TAB/24/III/00079,CETAKAN FOIL PAPER/MIXED COLORS (SNP) 60 GSM X 38 MM X 92 MM,19644.33,5539.08,28.20%
PT PURA BARUTAMA,2024,4,124.1055.003,OK/TAB/24/III/00117,CETAKAN FOIL PAPER/MIXED COLORS (SNP) 60 GSM X 38 MM X 92 MM,57866.33,14616.11,25.26%
PT PURA BARUTAMA,2024,4,124.1055.004,OK/TAB/24/IV/00006,CETAKAN FOIL PAPER/MIXED COLORS (SAH PRINTED) 60 GSM X 38 MM X 92 MM,11993.22,1779.54,14.84%
PT PURA BARUTAMA,2024,4,124.1055.010,OK/TAB/24/IV/00118,CETAKAN FOIL PAPER/MIXED COLORS ( MAGNUM KRETEK ) 87.C022-DIL2640. 60 GSM X 38 MM X 92 MM,8169.96,1560.64,19.10%
PT PURA BARUTAMA,2024,4,124.1055.010,OK/TAB/24/IV/00119,CETAKAN FOIL PAPER/MIXED COLORS ( MAGNUM KRETEK ) 87.C022-DIL2640. 60 GSM X 38 MM X 92 MM,6753.12,2171.76,32.16%
PT PURA BARUTAMA,2024,5,124.1055.003,OK/TAB/24/III/00276,CETAKAN FOIL PAPER/MIXED COLORS (SNP) 60 GSM X 38 MM X 92 MM,53921.09,14689.88,27.24%
PT PURA BARUTAMA,2024,5,124.1055.003,OK/TAB/24/IV/00005,CETAKAN FOIL PAPER/MIXED COLORS (SNP) 60 GSM X 38 MM X 92 MM,28164.85,8560.08,30.39%
PT PURA BARUTAMA,2024,5,124.1055.003,OK/TAB/24/IV/00046,CETAKAN FOIL PAPER/MIXED COLORS (SNP) 60 GSM X 38 MM X 92 MM,53291.48,14340.67,26.91%
PT PURA BARUTAMA,2024,5,124.1055.004,OK/TAB/24/IV/00091,CETAKAN FOIL PAPER/MIXED COLORS (SAH PRINTED) 60 GSM X 38 MM X 92 MM,26618.84,4278.24,16.07%
PT PURA BARUTAMA,2024,5,124.1055.004,OK/TAB/24/IV/00061,CETAKAN FOIL PAPER/MIXED COLORS (SAH PRINTED) 60 GSM X 38 MM X 92 MM,22382.56,5747.42,25.68%
PT PURA BARUTAMA,2024,5,124.1055.004,OK/TAB/24/V/00015,CETAKAN FOIL PAPER/MIXED COLORS (SAH PRINTED) 60 GSM X 38 MM X 92 MM,19398.26,6654.26,34.30%
PT PURA BARUTAMA,2024,5,124.1055.010,OK/TAB/24/IV/00120,CETAKAN FOIL PAPER/MIXED COLORS ( MAGNUM KRETEK ) 87.C022-DIL2640. 60 GSM X 38 MM X 92 MM,14508.56,4829.6,33.29%
PT PURA BARUTAMA,2024,5,124.1055.010,OK/TAB/24/IV/00295,CETAKAN FOIL PAPER/MIXED COLORS ( MAGNUM KRETEK ) 87.C022-DIL2640. 60 GSM X 38 MM X 92 MM,2266.37,322.37,14.22%
PT PURA BARUTAMA,2024,5,124.1055.010,OK/TAB/24/V/00014,CETAKAN FOIL PAPER/MIXED COLORS ( MAGNUM KRETEK ) 87.C022-DIL2640. 60 GSM X 38 MM X 92 MM,14144.78,3545.13,25.06%
PT PURA BARUTAMA,2024,5,124.1055.010,OK/TAB/24/V/00134,CETAKAN FOIL PAPER/MIXED COLORS ( MAGNUM KRETEK ) 87.C022-DIL2640. 60 GSM X 38 MM X 92 MM,837.54,275.94,32.95%
PT PURA BARUTAMA,2024,6,124.1055.002,OK/TAB/24/V/00415,CETAKAN FOIL PAPER/MIXED COLORS (LEP) 60 GSM X 38 MM X 92 MM,16838.46,2256.76,13.40%
PT PURA BARUTAMA,2024,6,124.1055.003,OK/TAB/24/V/00011,CETAKAN FOIL PAPER/MIXED COLORS (SNP) 60 GSM X 38 MM X 92 MM,56265.72,14404.92,25.60%
PT PURA BARUTAMA,2024,6,124.1055.004,OK/TAB/24/V/00247,CETAKAN FOIL PAPER/MIXED COLORS (SAH PRINTED) 60 GSM X 38 MM X 92 MM,18414.89,6110.59,33.18%
PT PURA BARUTAMA,2024,6,124.1055.004,OK/TAB/24/V/00301,CETAKAN FOIL PAPER/MIXED COLORS (SAH PRINTED) 60 GSM X 38 MM X 92 MM,46715.3,11593.7,24.82%
PT PURA BARUTAMA,2024,6,124.1055.004,OK/TAB/24/V/00393,CETAKAN FOIL PAPER/MIXED COLORS (SAH PRINTED) 60 GSM X 38 MM X 92 MM,73924.38,21578.58,29.19%
PT PURA BARUTAMA,2024,6,124.1055.010,OK/TAB/24/V/00246,CETAKAN FOIL PAPER/MIXED COLORS ( MAGNUM KRETEK ) 87.C022-DIL2640. 60 GSM X 38 MM X 92 MM,23709.76,8168.5,34.45%
PT PURA BARUTAMA,2024,6,124.1055.010,OK/TAB/24/V/00419,CETAKAN FOIL PAPER/MIXED COLORS ( MAGNUM KRETEK ) 87.C022-DIL2640. 60 GSM X 38 MM X 92 MM,14305.62,2119.02,14.81%
PT PURA BARUTAMA,2024,6,124.1055.010,OK/TAB/24/VI/00101,CETAKAN FOIL PAPER/MIXED COLORS ( MAGNUM KRETEK ) 87.C022-DIL2640. 60 GSM X 38 MM X 92 MM,12229.2,2773.26,22.68%
PT PURA BARUTAMA,2024,7,124.1055.002,OK/TAB/24/VI/00113,CETAKAN FOIL PAPER/MIXED COLORS (LEP) 60 GSM X 38 MM X 92 MM,10962.28,3251.08,29.66%
PT PURA BARUTAMA,2024,7,124.1055.002,OK/TAB/24/VI/00182,CETAKAN FOIL PAPER/MIXED COLORS (LEP) 60 GSM X 38 MM X 92 MM,5849,1701.8,29.10%
PT PURA BARUTAMA,2024,7,124.1055.002,OK/TAB/24/VII/00073,CETAKAN FOIL PAPER/MIXED COLORS (LEP) 60 GSM X 38 MM X 92 MM,6166.37,1620.48,26.28%
PT PURA BARUTAMA,2024,7,124.1055.003,OK/TAB/24/V/00016,CETAKAN FOIL PAPER/MIXED COLORS (SNP) 60 GSM X 38 MM X 92 MM,37768.13,10984.13,29.08%
PT PURA BARUTAMA,2024,7,124.1055.003,OK/TAB/24/V/00147,CETAKAN FOIL PAPER/MIXED COLORS (SNP) 60 GSM X 38 MM X 92 MM,18765.36,6971.76,37.15%
PT PURA BARUTAMA,2024,7,124.1055.003,OK/TAB/24/V/00209,CETAKAN FOIL PAPER/MIXED COLORS (SNP) 60 GSM X 38 MM X 92 MM,20740.94,7413.74,35.74%
PT PURA BARUTAMA,2024,7,124.1055.004,OK/TAB/24/VI/00102,CETAKAN FOIL PAPER/MIXED COLORS (SAH PRINTED) 60 GSM X 38 MM X 92 MM,18724.94,5570.54,29.75%
PT PURA BARUTAMA,2024,7,124.1055.004,OK/TAB/24/VI/00112,CETAKAN FOIL PAPER/MIXED COLORS (SAH PRINTED) 60 GSM X 38 MM X 92 MM,43849.03,11665.03,26.60%
PT PURA BARUTAMA,2024,7,124.1055.004,OK/TAB/24/VI/00187,CETAKAN FOIL PAPER/MIXED COLORS (SAH PRINTED) 60 GSM X 38 MM X 92 MM,20947.76,6517.76,31.11%
PT PURA BARUTAMA,2024,7,124.1055.004,OK/TAB/24/VI/00236,CETAKAN FOIL PAPER/MIXED COLORS (SAH PRINTED) 60 GSM X 38 MM X 92 MM,47077.9,15649.9,33.24%
PT PURA BARUTAMA,2024,7,124.1055.004,OK/TAB/24/VI/00254,CETAKAN FOIL PAPER/MIXED COLORS (SAH PRINTED) 60 GSM X 38 MM X 92 MM,6163.18,1148.49,18.63%
PT PURA BARUTAMA,2024,7,124.1055.010,OK/TAB/24/VI/00111,CETAKAN FOIL PAPER/MIXED COLORS ( MAGNUM KRETEK ) 87.C022-DIL2640. 60 GSM X 38 MM X 92 MM,12283.05,3210.53,26.14%
PT PURA BARUTAMA,2024,8,123.0601.019,OK/TAB/24/VII/00074,BSJ FOIL PAPER/GOLD 6.5 U 60 GSM X 495 MM,31865.38,88.58,0.28%
PT PURA BARUTAMA,2024,8,123.0601.019,OK/TAB/24/VII/00196,BSJ FOIL PAPER/GOLD 6.5 U 60 GSM X 495 MM,46012.62,-1486.24,-3.23%
PT PURA BARUTAMA,2024,8,124.1055.003,OK/TAB/24/VI/00114,CETAKAN FOIL PAPER/MIXED COLORS (SNP) 60 GSM X 38 MM X 92 MM,118310.9,27395.25,23.16%
PT PURA BARUTAMA,2024,8,124.1055.004,OK/TAB/24/VI/00313,CETAKAN FOIL PAPER/MIXED COLORS (SAH PRINTED) 60 GSM X 38 MM X 92 MM,14209.26,3754.86,26.43%
PT PURA BARUTAMA,2024,8,124.1055.004,OK/TAB/24/VII/00072,CETAKAN FOIL PAPER/MIXED COLORS (SAH PRINTED) 60 GSM X 38 MM X 92 MM,34857.92,10644.32,30.54%
PT PURA BARUTAMA,2024,8,124.1055.004,OK/TAB/24/VII/00160,CETAKAN FOIL PAPER/MIXED COLORS (SAH PRINTED) 60 GSM X 38 MM X 92 MM,62780.16,15627.36,24.89%
PT PURA BARUTAMA,2024,8,124.1055.010,OK/TAB/24/VII/00071,CETAKAN FOIL PAPER/MIXED COLORS ( MAGNUM KRETEK ) 87.C022-DIL2640. 60 GSM X 38 MM X 92 MM,9093.83,2527.43,27.79%
PT PURA BARUTAMA,2024,8,124.1055.012,OK/TAB/24/VIII/00088,CETAKAN FOIL PAPER/MIXED COLORS (FOIL PAPER SILVER 87 C291 SELONGSONG MARLBORO CRAFTED 40 GSM) 60 GSM X 37 MM X 101.4 MM,2540.09,1308.89,51.53%
PT PURA BARUTAMA,2024,9,124.1055.002,OK/TAB/24/VII/00161,CETAKAN FOIL PAPER/MIXED COLORS (LEP) 60 GSM X 38 MM X 92 MM,11315.21,3270.41,28.90%
PT PURA BARUTAMA,2024,9,124.1055.002,OK/TAB/24/VIII/00231,CETAKAN FOIL PAPER/MIXED COLORS (LEP) 60 GSM X 38 MM X 92 MM,11590.96,1826.45,15.76%
PT PURA BARUTAMA,2024,9,124.1055.003,OK/TAB/24/V/00243,CETAKAN FOIL PAPER/MIXED COLORS (SNP) 60 GSM X 38 MM X 92 MM,137334.4,42100,30.66%
PT PURA BARUTAMA,2024,9,124.1055.003,OK/TAB/24/VI/00103,CETAKAN FOIL PAPER/MIXED COLORS (SNP) 60 GSM X 38 MM X 92 MM,20242.57,5835.37,28.83%
PT PURA BARUTAMA,2024,9,124.1055.004,OK/TAB/24/VIII/00090,CETAKAN FOIL PAPER/MIXED COLORS (SAH PRINTED) 60 GSM X 38 MM X 92 MM,19978.31,6672.71,33.40%
PT PURA BARUTAMA,2024,9,124.1055.004,OK/TAB/24/VIII/00101,CETAKAN FOIL PAPER/MIXED COLORS (SAH PRINTED) 60 GSM X 38 MM X 92 MM,15501.93,4627.71,29.85%
PT PURA BARUTAMA,2024,9,124.1055.004,OK/TAB/24/VIII/00232,CETAKAN FOIL PAPER/MIXED COLORS (SAH PRINTED) 60 GSM X 38 MM X 92 MM,65278.3,21559.9,33.03%
PT PURA BARUTAMA,2024,9,124.1055.010,OK/TAB/24/VII/00159,CETAKAN FOIL PAPER/MIXED COLORS ( MAGNUM KRETEK ) 87.C022-DIL2640. 60 GSM X 38 MM X 92 MM,31666.44,9202.44,29.06%
PT PURA BARUTAMA,2024,10,124.1055.002,OK/TAB/24/IX/00064,CETAKAN FOIL PAPER/MIXED COLORS (LEP) 60 GSM X 38 MM X 92 MM,17600.75,3374.13,19.17%
PT PURA BARUTAMA,2024,10,124.1055.002,OK/TAB/24/IX/00107,CETAKAN FOIL PAPER/MIXED COLORS (LEP) 60 GSM X 38 MM X 92 MM,18752.39,3536.54,18.86%
PT PURA BARUTAMA,2024,10,124.1055.004,OK/TAB/24/IX/00063,CETAKAN FOIL PAPER/MIXED COLORS (SAH PRINTED) 60 GSM X 38 MM X 92 MM,50267.34,13265.01,26.39%
PT PURA BARUTAMA,2024,10,124.1055.004,OK/TAB/24/VIII/00350,CETAKAN FOIL PAPER/MIXED COLORS (SAH PRINTED) 60 GSM X 38 MM X 92 MM,25839.93,8624.73,33.38%
PT PURA BARUTAMA,2024,10,124.1055.004,OK/TAB/24/IX/00092,CETAKAN FOIL PAPER/MIXED COLORS (SAH PRINTED) 60 GSM X 38 MM X 92 MM,39719.07,9738.27,24.52%
PT PURA BARUTAMA,2024,10,124.1055.010,OK/TAB/24/VIII/00230,CETAKAN FOIL PAPER/MIXED COLORS ( MAGNUM KRETEK ) 87.C022-DIL2640. 60 GSM X 38 MM X 92 MM,8346.7,2730.7,32.72%
PT PURA BARUTAMA,2024,10,124.1055.010,OK/TAB/24/IX/00065,CETAKAN FOIL PAPER/MIXED COLORS ( MAGNUM KRETEK ) 87.C022-DIL2640. 60 GSM X 38 MM X 92 MM,13790.17,4415.77,32.02%
PT PURA BARUTAMA,2024,10,124.1055.010,OK/TAB/24/IX/00105,CETAKAN FOIL PAPER/MIXED COLORS ( MAGNUM KRETEK ) 87.C022-DIL2640. 60 GSM X 38 MM X 92 MM,8255.04,2398.37,29.05%
PT PURA BARUTAMA,2024,10,124.1055.012,OK/TAB/24/VIII/00229,CETAKAN FOIL PAPER/MIXED COLORS (FOIL PAPER SILVER 87 C291 SELONGSONG MARLBORO CRAFTED 40 GSM) 60 GSM X 37 MM X 101.4 MM,16939.04,6851.84,40.45%
PT PURA BARUTAMA,2024,10,124.1055.012,OK/TAB/24/IX/00066,CETAKAN FOIL PAPER/MIXED COLORS (FOIL PAPER SILVER 87 C291 SELONGSONG MARLBORO CRAFTED 40 GSM) 60 GSM X 37 MM X 101.4 MM,12044.86,4216.89,35.01%
PT PURA BARUTAMA,2024,11,124.1055.002,OK/TAB/24/IX/00205,CETAKAN FOIL PAPER/MIXED COLORS (LEP) 60 GSM X 38 MM X 92 MM,12808.1,2134.84,16.67%
PT PURA BARUTAMA,2024,11,124.1055.002,OK/TAB/24/X/00075,CETAKAN FOIL PAPER/MIXED COLORS (LEP) 60 GSM X 38 MM X 92 MM,8198.04,2430.84,29.65%
PT PURA BARUTAMA,2024,11,124.1055.002,OK/TAB/24/X/00156,CETAKAN FOIL PAPER/MIXED COLORS (LEP) 60 GSM X 38 MM X 92 MM,21316.35,6757.95,31.70%
PT PURA BARUTAMA,2024,11,124.1055.002,OK/TAB/24/X/00227,CETAKAN FOIL PAPER/MIXED COLORS (LEP) 60 GSM X 38 MM X 92 MM,12239.2,3167.2,25.88%
PT PURA BARUTAMA,2024,11,124.1055.003,OK/TAB/24/VII/00162,CETAKAN FOIL PAPER/MIXED COLORS (SNP) 60 GSM X 38 MM X 92 MM,148836.36,24446.97,16.43%
PT PURA BARUTAMA,2024,11,124.1055.003,OK/TAB/24/VIII/00233,CETAKAN FOIL PAPER/MIXED COLORS (SNP) 60 GSM X 38 MM X 92 MM,151778.65,24916.75,16.42%
PT PURA BARUTAMA,2024,11,124.1055.003,OK/TAB/24/IX/00108,CETAKAN FOIL PAPER/MIXED COLORS (SNP) 60 GSM X 38 MM X 92 MM,63535.69,17311.69,27.25%
PT PURA BARUTAMA,2024,11,124.1055.004,OK/TAB/24/IX/00106,CETAKAN FOIL PAPER/MIXED COLORS (SAH PRINTED) 60 GSM X 38 MM X 92 MM,92807.41,28712.97,30.94%
PT PURA BARUTAMA,2024,11,124.1055.004,OK/TAB/24/IX/00204,CETAKAN FOIL PAPER/MIXED COLORS (SAH PRINTED) 60 GSM X 38 MM X 92 MM,14904.6,4558.2,30.58%
PT PURA BARUTAMA,2024,11,124.1055.004,OK/TAB/24/X/00074,CETAKAN FOIL PAPER/MIXED COLORS (SAH PRINTED) 60 GSM X 38 MM X 92 MM,32142.12,10239.72,31.86%
PT PURA BARUTAMA,2024,11,124.1055.004,OK/TAB/24/X/00092,CETAKAN FOIL PAPER/MIXED COLORS (SAH PRINTED) 60 GSM X 38 MM X 92 MM,32944.33,10156.33,30.83%
PT PURA BARUTAMA,2024,11,124.1055.012,OK/TAB/24/VIII/00087,CETAKAN FOIL PAPER/MIXED COLORS (FOIL PAPER SILVER 87 C291 SELONGSONG MARLBORO CRAFTED 40 GSM) 60 GSM X 37 MM X 101.4 MM,13445.08,4775.73,35.52%
PT PURA BARUTAMA,2024,11,124.1055.012,OK/TAB/24/IX/00104,CETAKAN FOIL PAPER/MIXED COLORS (FOIL PAPER SILVER 87 C291 SELONGSONG MARLBORO CRAFTED 40 GSM) 60 GSM X 37 MM X 101.4 MM,29026.65,6846.02,23.59%
PT PURA BARUTAMA,2024,11,124.1055.012,OK/TAB/24/X/00071,CETAKAN FOIL PAPER/MIXED COLORS (FOIL PAPER SILVER 87 C291 SELONGSONG MARLBORO CRAFTED 40 GSM) 60 GSM X 37 MM X 101.4 MM,25725.07,10302.67,40.05%
PT PURA BARUTAMA,2024,12,123.0601.019,OK/TAB/24/VI/00337,BSJ FOIL PAPER/GOLD 6.5 U 60 GSM X 495 MM,18480.11,604.81,3.27%
PT PURA BARUTAMA,2024,12,123.0690.014,OK/TAB/24/X/00072,BSJ FOIL PAPER/SILVER COATING (DULL SIDE) 6.5 U 60 GSM X 495 MM,16508.84,-447.3,-2.71%
PT PURA BARUTAMA,2024,12,124.1055.002,OK/TAB/24/X/00333,CETAKAN FOIL PAPER/MIXED COLORS (LEP) 60 GSM X 38 MM X 92 MM,6592.69,1754.15,26.61%
PT PURA BARUTAMA,2024,12,124.1055.003,OK/TAB/24/X/00158,CETAKAN FOIL PAPER/MIXED COLORS (SNP) 60 GSM X 38 MM X 92 MM,52597.34,12379.77,23.54%
PT PURA BARUTAMA,2024,12,124.1055.003,OK/TAB/24/XI/00137,CETAKAN FOIL PAPER/MIXED COLORS (SNP) 60 GSM X 38 MM X 92 MM,43255.22,12927.89,29.89%
PT PURA BARUTAMA,2024,12,124.1055.003,OK/TAB/24/XI/00188,CETAKAN FOIL PAPER/MIXED COLORS (SNP) 60 GSM X 38 MM X 92 MM,20045.61,5919.21,29.53%
PT PURA BARUTAMA,2024,12,124.1055.003,OK/TAB/24/XI/00217,CETAKAN FOIL PAPER/MIXED COLORS (SNP) 60 GSM X 38 MM X 92 MM,16588.35,3779.55,22.78%
PT PURA BARUTAMA,2024,12,124.1055.003,OK/TAB/24/XI/00246,CETAKAN FOIL PAPER/MIXED COLORS (SNP) 60 GSM X 38 MM X 92 MM,16525.94,4842.34,29.30%
PT PURA BARUTAMA,2024,12,124.1055.004,OK/TAB/24/X/00155,CETAKAN FOIL PAPER/MIXED COLORS (SAH PRINTED) 60 GSM X 38 MM X 92 MM,122711.72,33417.12,27.23%
PT PURA BARUTAMA,2024,12,124.1055.004,OK/TAB/24/X/00334,CETAKAN FOIL PAPER/MIXED COLORS (SAH PRINTED) 60 GSM X 38 MM X 92 MM,73983.26,22726.46,30.72%
PT PURA BARUTAMA,2024,12,124.1055.004,OK/TAB/24/XI/00245,CETAKAN FOIL PAPER/MIXED COLORS (SAH PRINTED) 60 GSM X 38 MM X 92 MM,66466.46,14732.56,22.17%
PT PURA BARUTAMA,2024,12,124.1055.010,OK/TAB/24/X/00149,CETAKAN FOIL PAPER/MIXED COLORS ( MAGNUM KRETEK ) 87.C022-DIL2640. 60 GSM X 38 MM X 92 MM,17667.94,5463.94,30.93%
PT PURA BARUTAMA,2024,12,124.1055.012,OK/TAB/24/X/00148,CETAKAN FOIL PAPER/MIXED COLORS (FOIL PAPER SILVER 87 C291 SELONGSONG MARLBORO CRAFTED 40 GSM) 60 GSM X 37 MM X 101.4 MM,34427.51,13173.11,38.26%
PT PURA BARUTAMA,2024,12,124.1055.012,OK/TAB/24/X/00226,CETAKAN FOIL PAPER/MIXED COLORS (FOIL PAPER SILVER 87 C291 SELONGSONG MARLBORO CRAFTED 40 GSM) 60 GSM X 37 MM X 101.4 MM,12371.66,4093.65,33.09%
PT PURA BARUTAMA,2024,12,124.8899.529,OK/TAB/24/XII/00174,ALU PAPER MG GOLD 40 GSM  1172.01 60 GSM X 990 MM X 12000 M,2221.56,83.16,3.74%
PT PURA BARUTAMA,2025,1,124.1055.003,OK/TAB/24/XII/00042,CETAKAN FOIL PAPER/MIXED COLORS (SNP) 60 GSM X 38 MM X 92 MM,108239.22,28038.42,25.90%
PT PURA BARUTAMA,2025,1,124.1055.003,OK/TAB/24/XII/00044,CETAKAN FOIL PAPER/MIXED COLORS (SNP) 60 GSM X 38 MM X 92 MM,11309.3,2901.19,25.65%
PT PURA BARUTAMA,2025,1,124.1055.003,OK/TAB/24/XII/00136,CETAKAN FOIL PAPER/MIXED COLORS (SNP) 60 GSM X 38 MM X 92 MM,10814.38,1779.22,16.45%
PT PURA BARUTAMA,2025,1,124.1055.003,OK/TAB/24/XII/00347,CETAKAN FOIL PAPER/MIXED COLORS (SNP) 60 GSM X 38 MM X 92 MM,30519.94,8833.54,28.94%
PT PURA BARUTAMA,2025,1,124.1055.003,OK/TAB/25/I/00084,CETAKAN FOIL PAPER/MIXED COLORS (SNP) 60 GSM X 38 MM X 92 MM,7512.3,1961.1,26.11%
PT PURA BARUTAMA,2025,1,124.1055.004,OK/TAB/24/XII/00020,CETAKAN FOIL PAPER/MIXED COLORS (SAH PRINTED) 60 GSM X 38 MM X 92 MM,106384.52,19096.12,17.95%
PT PURA BARUTAMA,2025,1,124.1055.004,OK/TAB/25/I/00046,CETAKAN FOIL PAPER/MIXED COLORS (SAH PRINTED) 60 GSM X 38 MM X 92 MM,32595.92,8663.12,26.58%
PT PURA BARUTAMA,2025,2,124.1055.002,OK/TAB/25/I/00147,CETAKAN FOIL PAPER/MIXED COLORS (LEP) 60 GSM X 38 MM X 92 MM,12287.91,3604.71,29.34%
PT PURA BARUTAMA,2025,2,124.1055.004,OK/TAB/25/I/00135,CETAKAN FOIL PAPER/MIXED COLORS (SAH PRINTED) 60 GSM X 38 MM X 92 MM,7590.09,2665.29,35.12%
PT PURA BARUTAMA,2025,2,124.1055.010,OK/TAB/24/XII/00018,CETAKAN FOIL PAPER/MIXED COLORS ( MAGNUM KRETEK ) 87.C022-DIL2640. 60 GSM X 38 MM X 92 MM,10481.07,2294.67,21.89%
PT PURA BARUTAMA,2025,2,124.1055.012,OK/TAB/25/II/00057,CETAKAN FOIL PAPER/MIXED COLORS (FOIL PAPER SILVER 87 C291 SELONGSONG MARLBORO CRAFTED 40 GSM) 60 GSM X 37 MM X 101.4 MM,6168.39,2225.73,36.08%
PT PURA BARUTAMA,2025,3,124.1055.002,OK/TAB/25/II/00059,CETAKAN FOIL PAPER/MIXED COLORS (LEP) 60 GSM X 38 MM X 92 MM,5116.95,1747.35,34.15%
PT PURA BARUTAMA,2025,3,124.1055.010,OK/TAB/25/I/00146,CETAKAN FOIL PAPER/MIXED COLORS ( MAGNUM KRETEK ) 87.C022-DIL2640. 60 GSM X 38 MM X 92 MM,12681.48,2313.48,18.24%
PT PURA BARUTAMA,2025,3,124.8899.529,OK/TAB/25/II/00342,ALU PAPER MG GOLD 40 GSM  1172.01 60 GSM X 990 MM X 12000 M,6114.89,-300.32,-4.91%
PT PURA BARUTAMA,2025,4,123.0690.014,OK/TAB/24/XII/00043,BSJ FOIL PAPER/SILVER COATING (DULL SIDE) 6.5 U 60 GSM X 495 MM,11886.53,-881.2,-7.41%
PT PURA BARUTAMA,2025,4,124.1055.002,OK/TAB/25/II/00307,CETAKAN FOIL PAPER/MIXED COLORS (LEP) 60 GSM X 38 MM X 92 MM,6100.01,1534.12,25.15%
PT PURA BARUTAMA,2025,4,124.1055.003,OK/TAB/25/II/00060,CETAKAN FOIL PAPER/MIXED COLORS (SNP) 60 GSM X 38 MM X 92 MM,41565.38,10151,24.42%
